sample;Plate;Genotype;Environment;HarvestTimePoint;OD
serialdilution_0;1;NA;NA;NA;3.9583
serialdilution_1;1;NA;NA;NA;3.5904
serialdilution_2;1;NA;NA;NA;2.9303
serialdilution_3;1;NA;NA;NA;2.2063
serialdilution_4;1;NA;NA;NA;1.5827
serialdilution_5;1;NA;NA;NA;1.032
serialdilution_6;1;NA;NA;NA;0.6626
serialdilution_7;1;NA;NA;NA;0.4679
serialdilution_8;1;NA;NA;NA;0.321
serialdilution_9;1;NA;NA;NA;0.2274
serialdilution_10;1;NA;NA;NA;0.1799
serialdilution_11;1;NA;NA;NA;0.1434
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1149
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1234
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.113
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1142
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;0.4559
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.4007
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;1.1
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;1.0066
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.6559
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.3931
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;3.0308
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.2801
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.3419
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;1.326
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.1253
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.2076
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.4644
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.387
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.1986
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.2879
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.484
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.747
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.6888
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.9349
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;1.4582
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;2.2039
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;1.1392
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;2.9828
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.8207
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1209
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1253
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1199
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.126
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1375
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.625
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.9611
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;1.5136
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.4733
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.2208
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.1321
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.1734
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.9049
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;1.6555
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.7129
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.912
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.7222
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.9186
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.7922
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.8536
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.594
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.323
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;0.7846
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;1.5767
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.7435
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;0.5546
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.5345
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.5955
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.5518
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.2661
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.6389
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.6735
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.7132
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.9986
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;1.7696
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.8263
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1189
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1313
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1288
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1217
